Year,Month,Town,Category,Value
2021,02,JURONG WEST,Minimum Area,44
2021,02,JURONG WEST,Average Area,102.9
2021,02,JURONG WEST,Standard Deviation of Area,22.64
2021,02,JURONG WEST,Minimum Price,204000
2021,02,JURONG WEST,Average Price,439894.84
2021,02,JURONG WEST,Standard Deviation of Price,105675.19
