Year,Month,Town,Category,Value
2016,04,PUNGGOL,Minimum Area,50
2016,04,PUNGGOL,Average Area,99.59
2016,04,PUNGGOL,Standard Deviation of Area,13.41
2016,04,PUNGGOL,Minimum Price,261000
2016,04,PUNGGOL,Average Price,448480.04
2016,04,PUNGGOL,Standard Deviation of Price,55634.02
